trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-141.29582304750562,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-151.93802837330423,"{0: 13, 1: 5, 2: 2, 3: 4, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-112.42246803826724,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-108.99604143107261,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-113.4696349477574,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-134.5478056896614,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-172.5909541129209,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-124.45689405180457,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-203.33032805031377,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-13.840577417148605,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-100.43038141990499,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-226.87916102821245,"{0: 10, 1: 1, 2: 9, 3: 3, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-54.15825202033452,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-149.93560852366687,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-139.40891003378383,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-183.96726369784983,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-164.9148825028177,"{0: 14, 1: 9, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-39.13210094753071,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-142.6064985187567,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-83.4819812398001,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-114.1781814773692,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",35,0,-119.18337569278157,"{0: 24, 1: 1, 2: 8, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-94.76813869281607,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-65.86215878711991,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-84.34452622859916,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-66.73788805478758,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-75.14127687076162,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-102.7198184145595,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-102.41067869388075,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-64.4030059294727,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,0,-90.8000047866689,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,9,-47.869539520631044,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-144.6748804193192,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-245.04532163514287,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 5}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-67.88851856702954,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",35,0,-152.62628123576965,"{0: 22, 1: 4, 2: 6, 3: 1, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-119.08406430354141,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-205.67834361091462,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-105.4709592541465,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-114.9441742274068,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",1
